Species,Site,Variable,Value
ACEMAC,PSPST,496nm,39.639999
ACEMAC,PSPST,497nm,39.634541
ACEMAC,PSPST,498nm,39.669712
ACEMAC,PSPST,499nm,39.731186
ACEMAC,PSPST,500nm,40.027462
ACEMAC,PSPST,501nm,40.387688
ACEMAC,PSPST,502nm,40.50769
ACEMAC,PSPST,503nm,40.630791
ACEMAC,PSPST,504nm,40.82045
ACEMAC,PSPST,505nm,41.05172
ACEMAC,PSPST,506nm,41.367298
ACEMAC,PSPST,507nm,41.693794
ACEMAC,PSPST,508nm,42.030598
ACEMAC,PSPST,509nm,42.276947
ACEMAC,PSPST,510nm,42.48457
ACEMAC,PSPST,511nm,42.578335
ACEMAC,PSPST,512nm,42.667313
ACEMAC,PSPST,513nm,42.875057
ACEMAC,PSPST,514nm,43.103928
ACEMAC,PSPST,515nm,43.391323
ACEMAC,PSPST,516nm,43.752369
ACEMAC,PSPST,517nm,44.201122
ACEMAC,PSPST,518nm,44.676071
ACEMAC,PSPST,519nm,45.16518
ACEMAC,PSPST,520nm,45.731087
ACEMAC,PSPST,521nm,46.317028
ACEMAC,PSPST,522nm,47.046555
ACEMAC,PSPST,523nm,47.788254
ACEMAC,PSPST,524nm,48.569485
ACEMAC,PSPST,525nm,49.298595
ACEMAC,PSPST,526nm,49.959713
ACEMAC,PSPST,527nm,50.528721
ACEMAC,PSPST,528nm,51.044521
ACEMAC,PSPST,529nm,51.495552
ACEMAC,PSPST,530nm,51.936192
ACEMAC,PSPST,531nm,52.436974
ACEMAC,PSPST,532nm,52.91396
ACEMAC,PSPST,533nm,53.316689
ACEMAC,PSPST,534nm,53.622643
ACEMAC,PSPST,535nm,53.809681
ACEMAC,PSPST,536nm,53.969563
ACEMAC,PSPST,537nm,54.115211
ACEMAC,PSPST,538nm,54.290611
ACEMAC,PSPST,539nm,54.466248
ACEMAC,PSPST,540nm,54.588509
ACEMAC,PSPST,541nm,54.708675
ACEMAC,PSPST,542nm,54.823669
ACEMAC,PSPST,543nm,54.976234
ACEMAC,PSPST,544nm,55.166069
ACEMAC,PSPST,545nm,55.358086
ACEMAC,PSPST,546nm,55.550964
ACEMAC,PSPST,547nm,55.740459
ACEMAC,PSPST,548nm,55.92498
ACEMAC,PSPST,549nm,56.083332
ACEMAC,PSPST,550nm,56.1945
ACEMAC,PSPST,551nm,56.226398
ACEMAC,PSPST,552nm,56.21249
ACEMAC,PSPST,553nm,56.167393
ACEMAC,PSPST,554nm,56.042473
ACEMAC,PSPST,555nm,55.900539
ACEMAC,PSPST,556nm,55.773346
ACEMAC,PSPST,557nm,55.620914
ACEMAC,PSPST,558nm,55.400478
ACEMAC,PSPST,559nm,55.170845
ACEMAC,PSPST,560nm,54.931976
ACEMAC,PSPST,561nm,54.624062
ACEMAC,PSPST,562nm,54.290516
ACEMAC,PSPST,563nm,53.983292
ACEMAC,PSPST,564nm,53.660664
ACEMAC,PSPST,565nm,53.26989
ACEMAC,PSPST,566nm,52.910698
ACEMAC,PSPST,567nm,52.593369
ACEMAC,PSPST,568nm,52.248569
ACEMAC,PSPST,569nm,51.89006
ACEMAC,PSPST,570nm,51.530529
ACEMAC,PSPST,571nm,51.177982
ACEMAC,PSPST,572nm,50.866802
ACEMAC,PSPST,573nm,50.56036
ACEMAC,PSPST,574nm,50.261364
ACEMAC,PSPST,575nm,50.035423
ACEMAC,PSPST,576nm,49.851925
ACEMAC,PSPST,577nm,49.688629
ACEMAC,PSPST,578nm,49.51997
ACEMAC,PSPST,579nm,49.29451
ACEMAC,PSPST,580nm,49.072086
ACEMAC,PSPST,581nm,48.854713
ACEMAC,PSPST,582nm,48.567165
ACEMAC,PSPST,583nm,48.237724
ACEMAC,PSPST,584nm,47.879684
ACEMAC,PSPST,585nm,47.512383
ACEMAC,PSPST,586nm,47.110615
ACEMAC,PSPST,587nm,46.704777
ACEMAC,PSPST,588nm,46.292583
ACEMAC,PSPST,589nm,45.921749
ACEMAC,PSPST,590nm,45.573315
ACEMAC,PSPST,591nm,45.31506
ACEMAC,PSPST,592nm,45.096085
ACEMAC,PSPST,593nm,45.023815
ACEMAC,PSPST,594nm,44.999428
ACEMAC,PSPST,595nm,45.037312
ACEMAC,PSPST,596nm,45.103611
ACEMAC,PSPST,597nm,45.182068
ACEMAC,PSPST,598nm,45.233467
ACEMAC,PSPST,599nm,45.275249
ACEMAC,PSPST,600nm,45.289036
ACEMAC,PSPST,601nm,45.26992
ACEMAC,PSPST,602nm,45.219051
ACEMAC,PSPST,603nm,45.111526
ACEMAC,PSPST,604nm,44.990395
ACEMAC,PSPST,605nm,44.905048
ACEMAC,PSPST,606nm,44.779888
ACEMAC,PSPST,607nm,44.575424
ACEMAC,PSPST,608nm,44.331665
ACEMAC,PSPST,609nm,44.06311
ACEMAC,PSPST,610nm,43.752151
ACEMAC,PSPST,611nm,43.441402
ACEMAC,PSPST,612nm,43.154968
ACEMAC,PSPST,613nm,42.891441
ACEMAC,PSPST,614nm,42.654625
ACEMAC,PSPST,615nm,42.419079
ACEMAC,PSPST,616nm,42.185181
ACEMAC,PSPST,617nm,41.983173
ACEMAC,PSPST,618nm,41.770588
ACEMAC,PSPST,619nm,41.536312
ACEMAC,PSPST,620nm,41.348179
ACEMAC,PSPST,621nm,41.188309
ACEMAC,PSPST,622nm,40.953838
ACEMAC,PSPST,623nm,40.721184
ACEMAC,PSPST,624nm,40.521225
ACEMAC,PSPST,625nm,40.306797
ACEMAC,PSPST,626nm,40.078449
ACEMAC,PSPST,627nm,39.919476
ACEMAC,PSPST,628nm,39.785435
ACEMAC,PSPST,629nm,39.719822
ACEMAC,PSPST,630nm,39.668224
ACEMAC,PSPST,631nm,39.636169
ACEMAC,PSPST,632nm,39.595718
ACEMAC,PSPST,633nm,39.550774
ACEMAC,PSPST,634nm,39.46772
ACEMAC,PSPST,635nm,39.356827
ACEMAC,PSPST,636nm,39.192745
ACEMAC,PSPST,637nm,39.027973
ACEMAC,PSPST,638nm,38.862839
ACEMAC,PSPST,639nm,38.5905
ACEMAC,PSPST,640nm,38.275101
ACEMAC,PSPST,641nm,37.86113
ACEMAC,PSPST,642nm,37.46706
ACEMAC,PSPST,643nm,37.085873
ACEMAC,PSPST,644nm,36.657871
ACEMAC,PSPST,645nm,36.224953
ACEMAC,PSPST,646nm,35.788185
ACEMAC,PSPST,647nm,35.379303
ACEMAC,PSPST,648nm,34.990902
ACEMAC,PSPST,649nm,34.574245
ACEMAC,PSPST,650nm,34.164543
ACEMAC,PSPST,651nm,33.787548
ACEMAC,PSPST,652nm,33.476604
ACEMAC,PSPST,653nm,33.216534
ACEMAC,PSPST,654nm,33.089081
ACEMAC,PSPST,655nm,32.962166
ACEMAC,PSPST,656nm,32.788208
ACEMAC,PSPST,657nm,32.632217
ACEMAC,PSPST,658nm,32.489632
ACEMAC,PSPST,659nm,32.410057
ACEMAC,PSPST,660nm,32.333107
ACEMAC,PSPST,661nm,32.24625
ACEMAC,PSPST,662nm,32.225246
ACEMAC,PSPST,663nm,32.248184
ACEMAC,PSPST,664nm,32.076714
ACEMAC,PSPST,665nm,31.885298
ACEMAC,PSPST,666nm,31.672518
ACEMAC,PSPST,667nm,31.468494
ACEMAC,PSPST,668nm,31.26926
ACEMAC,PSPST,669nm,31.104893
ACEMAC,PSPST,670nm,30.932255
ACEMAC,PSPST,671nm,30.744635
ACEMAC,PSPST,672nm,30.616972
ACEMAC,PSPST,673nm,30.513603
ACEMAC,PSPST,674nm,30.412813
ACEMAC,PSPST,675nm,30.324621
ACEMAC,PSPST,676nm,30.252743
ACEMAC,PSPST,677nm,30.239998
ACEMAC,PSPST,678nm,30.238373
ACEMAC,PSPST,679nm,30.218725
ACEMAC,PSPST,680nm,30.20096
ACEMAC,PSPST,681nm,30.18482
ACEMAC,PSPST,682nm,30.144735
ACEMAC,PSPST,683nm,30.142262
ACEMAC,PSPST,684nm,30.241932
ACEMAC,PSPST,685nm,30.4603
ACEMAC,PSPST,686nm,30.753611
ACEMAC,PSPST,687nm,31.398281
ACEMAC,PSPST,688nm,32.117043
ACEMAC,PSPST,689nm,32.939468
ACEMAC,PSPST,690nm,34.032108
ACEMAC,PSPST,691nm,35.281414
ACEMAC,PSPST,692nm,36.922161
ACEMAC,PSPST,693nm,38.648441
ACEMAC,PSPST,694nm,40.438442
ACEMAC,PSPST,695nm,42.381931
ACEMAC,PSPST,696nm,44.35844
ACEMAC,PSPST,697nm,46.384144
ACEMAC,PSPST,698nm,48.573627
ACEMAC,PSPST,699nm,50.827793
ACEMAC,PSPST,700nm,53.141159
ACEMAC,PSPST,701nm,55.451126
ACEMAC,PSPST,702nm,57.758305
ACEMAC,PSPST,703nm,60.148575
ACEMAC,PSPST,704nm,62.54509
ACEMAC,PSPST,705nm,64.945015
ACEMAC,PSPST,706nm,67.403419
ACEMAC,PSPST,707nm,69.841934
ACEMAC,PSPST,708nm,72.095673
ACEMAC,PSPST,709nm,74.157974
ACEMAC,PSPST,710nm,76.083458
ACEMAC,PSPST,711nm,77.415955
ACEMAC,PSPST,712nm,78.522064
ACEMAC,PSPST,713nm,79.310509
ACEMAC,PSPST,714nm,79.844398
ACEMAC,PSPST,715nm,80.366478
ACEMAC,PSPST,716nm,81.001122
ACEMAC,PSPST,717nm,81.762756
ACEMAC,PSPST,718nm,82.584076
ACEMAC,PSPST,719nm,83.40654
ACEMAC,PSPST,720nm,84.30024
ACEMAC,PSPST,721nm,85.255226
ACEMAC,PSPST,722nm,86.834808
ACEMAC,PSPST,723nm,88.666595
ACEMAC,PSPST,724nm,90.840675
ACEMAC,PSPST,725nm,93.262001
ACEMAC,PSPST,726nm,95.841461
ACEMAC,PSPST,727nm,98.705322
ACEMAC,PSPST,728nm,101.68721
ACEMAC,PSPST,729nm,104.765816
ACEMAC,PSPST,730nm,108.097824
ACEMAC,PSPST,731nm,111.551033
ACEMAC,PSPST,732nm,115.074608
ACEMAC,PSPST,733nm,118.537399
ACEMAC,PSPST,734nm,122.084366
ACEMAC,PSPST,735nm,125.708359
ACEMAC,PSPST,736nm,128.926224
ACEMAC,PSPST,737nm,132.103439
ACEMAC,PSPST,738nm,135.239944
ACEMAC,PSPST,739nm,137.897156
ACEMAC,PSPST,740nm,140.365295
ACEMAC,PSPST,741nm,142.596375
ACEMAC,PSPST,742nm,144.599228
ACEMAC,PSPST,743nm,146.483215
ACEMAC,PSPST,744nm,148.198776
ACEMAC,PSPST,745nm,149.724274
ACEMAC,PSPST,746nm,151.134705
ACEMAC,PSPST,747nm,152.365707
ACEMAC,PSPST,748nm,153.227386
ACEMAC,PSPST,749nm,153.852646
ACEMAC,PSPST,750nm,154.106339
ACEMAC,PSPST,751nm,153.665497
ACEMAC,PSPST,752nm,152.63298
ACEMAC,PSPST,753nm,150.296646
ACEMAC,PSPST,754nm,146.852585
ACEMAC,PSPST,755nm,142.612549
ACEMAC,PSPST,756nm,137.095703
ACEMAC,PSPST,757nm,131.521835
ACEMAC,PSPST,758nm,126.044464
ACEMAC,PSPST,759nm,121.272987
ACEMAC,PSPST,760nm,117.38205
ACEMAC,PSPST,761nm,114.284088
ACEMAC,PSPST,762nm,112.927925
ACEMAC,PSPST,763nm,112.956245
ACEMAC,PSPST,764nm,114.022697
ACEMAC,PSPST,765nm,116.692139
ACEMAC,PSPST,766nm,120.783569
ACEMAC,PSPST,767nm,125.766472
ACEMAC,PSPST,768nm,131.711304
ACEMAC,PSPST,769nm,137.530762
ACEMAC,PSPST,770nm,143.11058
ACEMAC,PSPST,771nm,148.10318
ACEMAC,PSPST,772nm,152.178024
ACEMAC,PSPST,773nm,155.596588
ACEMAC,PSPST,774nm,158.118622
ACEMAC,PSPST,775nm,159.830017
ACEMAC,PSPST,776nm,161.123978
ACEMAC,PSPST,777nm,161.980148
ACEMAC,PSPST,778nm,162.379135
ACEMAC,PSPST,779nm,162.681274
ACEMAC,PSPST,780nm,162.922836
ACEMAC,PSPST,Time,2019/08/14_11:17:40
ACEMAC,PSPST,LUX,5652.795898
ACEMAC,PSPST,fc,525.352783
ACEMAC,PSPST,CCT,5197
ACEMAC,PSPST,Duv,0.007554
ACEMAC,PSPST,I-Time,94
ACEMAC,PSPST,x,0.340655
ACEMAC,PSPST,y,0.363305
ACEMAC,PSPST,u',0.204036
ACEMAC,PSPST,v',0.489604
ACEMAC,PSPST,deltax,0.000846
ACEMAC,PSPST,deltay,0.015992
ACEMAC,PSPST,deltau',-0.00546
ACEMAC,PSPST,deltav',0.00783
ACEMAC,PSPST,LambdaP,780
ACEMAC,PSPST,LambdaPV,191.121613
ACEMAC,PSPST,LambdaD,564
ACEMAC,PSPST,Purity,11.344167
ACEMAC,PSPST,IRR,32.481869
ACEMAC,PSPST,CRI,91.85334
ACEMAC,PSPST,R1,89.872299
ACEMAC,PSPST,R2,92.941063
ACEMAC,PSPST,R3,96.240509
ACEMAC,PSPST,R4,90.97245
ACEMAC,PSPST,R5,90.162872
ACEMAC,PSPST,R6,90.786186
ACEMAC,PSPST,R7,96.121017
ACEMAC,PSPST,R8,87.730293
ACEMAC,PSPST,R9,63.710182
ACEMAC,PSPST,R10,83.65271
ACEMAC,PSPST,R11,88.170616
ACEMAC,PSPST,R12,85.887955
ACEMAC,PSPST,R13,90.035324
ACEMAC,PSPST,R14,97.772652
ACEMAC,PSPST,R15,87.693565
ACEMAC,PSPST,PPFD,94.974815
ACEMAC,PSPST,PFD,167.385574
ACEMAC,PSPST,PFD-UV,2.207146
ACEMAC,PSPST,PFD-B,23.493418
ACEMAC,PSPST,PFD-G,36.710228
ACEMAC,PSPST,PFD-R,35.433979
ACEMAC,PSPST,PFD-FR,70.829926
ACEMAC,PSPST,380nm,27.036194
ACEMAC,PSPST,381nm,27.257269
ACEMAC,PSPST,382nm,27.503252
ACEMAC,PSPST,383nm,27.631287
ACEMAC,PSPST,384nm,27.589052
ACEMAC,PSPST,385nm,27.881197
ACEMAC,PSPST,386nm,28.457609
ACEMAC,PSPST,387nm,28.62393
ACEMAC,PSPST,388nm,28.589941
ACEMAC,PSPST,389nm,29.187029
ACEMAC,PSPST,390nm,29.93857
ACEMAC,PSPST,391nm,30.172138
ACEMAC,PSPST,392nm,30.428637
ACEMAC,PSPST,393nm,31.510248
ACEMAC,PSPST,394nm,32.685638
ACEMAC,PSPST,395nm,34.239353
ACEMAC,PSPST,396nm,35.760445
ACEMAC,PSPST,397nm,37.215569
ACEMAC,PSPST,398nm,39.009697
ACEMAC,PSPST,399nm,41.196514
ACEMAC,PSPST,400nm,43.028709
ACEMAC,PSPST,401nm,44.62059
ACEMAC,PSPST,402nm,46.382824
ACEMAC,PSPST,403nm,48.208366
ACEMAC,PSPST,404nm,49.097321
ACEMAC,PSPST,405nm,49.836884
ACEMAC,PSPST,406nm,50.143005
ACEMAC,PSPST,407nm,50.434563
ACEMAC,PSPST,408nm,50.640038
ACEMAC,PSPST,409nm,50.883083
ACEMAC,PSPST,410nm,51.230515
ACEMAC,PSPST,411nm,51.676205
ACEMAC,PSPST,412nm,52.26952
ACEMAC,PSPST,413nm,52.672966
ACEMAC,PSPST,414nm,52.911396
ACEMAC,PSPST,415nm,53.247375
ACEMAC,PSPST,416nm,53.631214
ACEMAC,PSPST,417nm,53.776733
ACEMAC,PSPST,418nm,53.865326
ACEMAC,PSPST,419nm,53.841682
ACEMAC,PSPST,420nm,53.805897
ACEMAC,PSPST,421nm,53.708183
ACEMAC,PSPST,422nm,53.577168
ACEMAC,PSPST,423nm,53.327702
ACEMAC,PSPST,424nm,52.914196
ACEMAC,PSPST,425nm,52.206486
ACEMAC,PSPST,426nm,51.642151
ACEMAC,PSPST,427nm,51.222839
ACEMAC,PSPST,428nm,51.133213
ACEMAC,PSPST,429nm,51.231514
ACEMAC,PSPST,430nm,51.506935
ACEMAC,PSPST,431nm,51.83308
ACEMAC,PSPST,432nm,52.201797
ACEMAC,PSPST,433nm,52.590477
ACEMAC,PSPST,434nm,53.231281
ACEMAC,PSPST,435nm,54.035549
ACEMAC,PSPST,436nm,55.482292
ACEMAC,PSPST,437nm,56.729618
ACEMAC,PSPST,438nm,57.600121
ACEMAC,PSPST,439nm,58.408627
ACEMAC,PSPST,440nm,59.152653
ACEMAC,PSPST,441nm,59.810146
ACEMAC,PSPST,442nm,60.417866
ACEMAC,PSPST,443nm,61.335804
ACEMAC,PSPST,444nm,62.340988
ACEMAC,PSPST,445nm,63.501369
ACEMAC,PSPST,446nm,64.625046
ACEMAC,PSPST,447nm,65.137711
ACEMAC,PSPST,448nm,65.627281
ACEMAC,PSPST,449nm,66.036049
ACEMAC,PSPST,450nm,66.519463
ACEMAC,PSPST,451nm,67.129318
ACEMAC,PSPST,452nm,67.646606
ACEMAC,PSPST,453nm,68.078827
ACEMAC,PSPST,454nm,68.330734
ACEMAC,PSPST,455nm,68.494583
ACEMAC,PSPST,456nm,68.519272
ACEMAC,PSPST,457nm,68.514145
ACEMAC,PSPST,458nm,68.748405
ACEMAC,PSPST,459nm,68.963066
ACEMAC,PSPST,460nm,69.007233
ACEMAC,PSPST,461nm,68.999657
ACEMAC,PSPST,462nm,68.861847
ACEMAC,PSPST,463nm,68.706627
ACEMAC,PSPST,464nm,68.529236
ACEMAC,PSPST,465nm,68.36364
ACEMAC,PSPST,466nm,68.206017
ACEMAC,PSPST,467nm,68.043785
ACEMAC,PSPST,468nm,67.880051
ACEMAC,PSPST,469nm,67.817406
ACEMAC,PSPST,470nm,67.776939
ACEMAC,PSPST,471nm,67.896629
ACEMAC,PSPST,472nm,68.037529
ACEMAC,PSPST,473nm,68.248062
ACEMAC,PSPST,474nm,68.490639
ACEMAC,PSPST,475nm,68.782227
ACEMAC,PSPST,476nm,68.98909
ACEMAC,PSPST,477nm,69.128937
ACEMAC,PSPST,478nm,69.092781
ACEMAC,PSPST,479nm,68.989037
ACEMAC,PSPST,480nm,68.565758
ACEMAC,PSPST,481nm,68.106918
ACEMAC,PSPST,482nm,67.732124
ACEMAC,PSPST,483nm,67.391937
ACEMAC,PSPST,484nm,67.173073
ACEMAC,PSPST,485nm,66.954109
ACEMAC,PSPST,486nm,66.734985
ACEMAC,PSPST,487nm,66.56076
ACEMAC,PSPST,488nm,66.421707
ACEMAC,PSPST,489nm,66.483009
ACEMAC,PSPST,490nm,66.617653
ACEMAC,PSPST,491nm,67.103607
ACEMAC,PSPST,492nm,67.616882
ACEMAC,PSPST,493nm,68.014999
ACEMAC,PSPST,494nm,68.308571
ACEMAC,PSPST,495nm,68.293869
ACEMAC,PSPST,496nm,68.315659
ACEMAC,PSPST,497nm,68.385933
ACEMAC,PSPST,498nm,68.42189
ACEMAC,PSPST,499nm,68.435631
ACEMAC,PSPST,500nm,68.590981
ACEMAC,PSPST,501nm,68.784897
ACEMAC,PSPST,502nm,68.889038
ACEMAC,PSPST,503nm,69.023315
ACEMAC,PSPST,504nm,69.3498
ACEMAC,PSPST,505nm,69.681473
ACEMAC,PSPST,506nm,70.023651
ACEMAC,PSPST,507nm,70.379089
ACEMAC,PSPST,508nm,70.74704
ACEMAC,PSPST,509nm,70.968742
ACEMAC,PSPST,510nm,71.127831
ACEMAC,PSPST,511nm,71.095146
ACEMAC,PSPST,512nm,71.046074
ACEMAC,PSPST,513nm,71.095078
ACEMAC,PSPST,514nm,71.201012
ACEMAC,PSPST,515nm,71.464722
ACEMAC,PSPST,516nm,71.8097
ACEMAC,PSPST,517nm,72.251488
ACEMAC,PSPST,518nm,72.796654
ACEMAC,PSPST,519nm,73.397758
ACEMAC,PSPST,520nm,74.028961
ACEMAC,PSPST,521nm,74.677933
ACEMAC,PSPST,522nm,75.63031
ACEMAC,PSPST,523nm,76.611534
ACEMAC,PSPST,524nm,77.686409
ACEMAC,PSPST,525nm,78.63578
ACEMAC,PSPST,526nm,79.421463
ACEMAC,PSPST,527nm,80.138206
ACEMAC,PSPST,528nm,80.81514
ACEMAC,PSPST,529nm,81.37513
ACEMAC,PSPST,530nm,81.915535
ACEMAC,PSPST,531nm,82.543739
ACEMAC,PSPST,532nm,83.144646
ACEMAC,PSPST,533nm,83.660355
ACEMAC,PSPST,534nm,84.028038
ACEMAC,PSPST,535nm,84.213821
ACEMAC,PSPST,536nm,84.337585
ACEMAC,PSPST,537nm,84.428848
ACEMAC,PSPST,538nm,84.637482
ACEMAC,PSPST,539nm,84.857979
ACEMAC,PSPST,540nm,85.000488
ACEMAC,PSPST,541nm,85.120735
ACEMAC,PSPST,542nm,85.185966
ACEMAC,PSPST,543nm,85.327469
ACEMAC,PSPST,544nm,85.544655
ACEMAC,PSPST,545nm,85.770386
ACEMAC,PSPST,546nm,85.999481
ACEMAC,PSPST,547nm,86.215965
ACEMAC,PSPST,548nm,86.416718
ACEMAC,PSPST,549nm,86.535225
ACEMAC,PSPST,550nm,86.618149
ACEMAC,PSPST,551nm,86.641289
ACEMAC,PSPST,552nm,86.556931
ACEMAC,PSPST,553nm,86.399391
ACEMAC,PSPST,554nm,86.204605
ACEMAC,PSPST,555nm,86.003448
ACEMAC,PSPST,556nm,85.843391
ACEMAC,PSPST,557nm,85.651527
ACEMAC,PSPST,558nm,85.373947
ACEMAC,PSPST,559nm,85.051163
ACEMAC,PSPST,560nm,84.682991
ACEMAC,PSPST,561nm,84.332001
ACEMAC,PSPST,562nm,83.987389
ACEMAC,PSPST,563nm,83.60672
ACEMAC,PSPST,564nm,83.233025
ACEMAC,PSPST,565nm,82.894234
ACEMAC,PSPST,566nm,82.536461
ACEMAC,PSPST,567nm,82.153519
ACEMAC,PSPST,568nm,81.773376
ACEMAC,PSPST,569nm,81.394615
ACEMAC,PSPST,570nm,81.036156
ACEMAC,PSPST,571nm,80.683838
ACEMAC,PSPST,572nm,80.355064
ACEMAC,PSPST,573nm,80.067719
ACEMAC,PSPST,574nm,79.845573
ACEMAC,PSPST,575nm,79.692001
ACEMAC,PSPST,576nm,79.57827
ACEMAC,PSPST,577nm,79.499886
ACEMAC,PSPST,578nm,79.410477
ACEMAC,PSPST,579nm,79.210388
ACEMAC,PSPST,580nm,78.997475
ACEMAC,PSPST,581nm,78.763206
ACEMAC,PSPST,582nm,78.463684
ACEMAC,PSPST,583nm,78.125206
ACEMAC,PSPST,584nm,77.628113
ACEMAC,PSPST,585nm,77.112244
ACEMAC,PSPST,586nm,76.616127
ACEMAC,PSPST,587nm,76.111778
ACEMAC,PSPST,588nm,75.594566
ACEMAC,PSPST,589nm,75.091339
ACEMAC,PSPST,590nm,74.595695
ACEMAC,PSPST,591nm,74.24913
ACEMAC,PSPST,592nm,73.963974
ACEMAC,PSPST,593nm,73.904213
ACEMAC,PSPST,594nm,73.930428
ACEMAC,PSPST,595nm,74.068443
ACEMAC,PSPST,596nm,74.216667
ACEMAC,PSPST,597nm,74.369263
ACEMAC,PSPST,598nm,74.414368
ACEMAC,PSPST,599nm,74.467194
ACEMAC,PSPST,600nm,74.556183
ACEMAC,PSPST,601nm,74.596062
ACEMAC,PSPST,602nm,74.588531
ACEMAC,PSPST,603nm,74.555489
ACEMAC,PSPST,604nm,74.507454
ACEMAC,PSPST,605nm,74.329575
ACEMAC,PSPST,606nm,74.140259
ACEMAC,PSPST,607nm,73.928162
ACEMAC,PSPST,608nm,73.641876
ACEMAC,PSPST,609nm,73.308784
ACEMAC,PSPST,610nm,72.90976
ACEMAC,PSPST,611nm,72.50531
ACEMAC,PSPST,612nm,72.111938
ACEMAC,PSPST,613nm,71.759483
ACEMAC,PSPST,614nm,71.454735
ACEMAC,PSPST,615nm,71.160416
ACEMAC,PSPST,616nm,70.872093
ACEMAC,PSPST,617nm,70.648827
ACEMAC,PSPST,618nm,70.395546
ACEMAC,PSPST,619nm,70.080688
ACEMAC,PSPST,620nm,69.840164
ACEMAC,PSPST,621nm,69.645164
ACEMAC,PSPST,622nm,69.356979
ACEMAC,PSPST,623nm,69.053658
ACEMAC,PSPST,624nm,68.726212
ACEMAC,PSPST,625nm,68.42588
ACEMAC,PSPST,626nm,68.151604
ACEMAC,PSPST,627nm,67.888702
ACEMAC,PSPST,628nm,67.646133
ACEMAC,PSPST,629nm,67.542191
ACEMAC,PSPST,630nm,67.475739
ACEMAC,PSPST,631nm,67.461578
ACEMAC,PSPST,632nm,67.454262
ACEMAC,PSPST,633nm,67.449692
ACEMAC,PSPST,634nm,67.449524
ACEMAC,PSPST,635nm,67.400803
ACEMAC,PSPST,636nm,67.259293
ACEMAC,PSPST,637nm,67.105782
ACEMAC,PSPST,638nm,66.945984
ACEMAC,PSPST,639nm,66.62397
ACEMAC,PSPST,640nm,66.263718
ACEMAC,PSPST,641nm,65.820854
ACEMAC,PSPST,642nm,65.305573
ACEMAC,PSPST,643nm,64.743431
ACEMAC,PSPST,644nm,64.247284
ACEMAC,PSPST,645nm,63.763432
ACEMAC,PSPST,646nm,63.300972
ACEMAC,PSPST,647nm,62.791622
ACEMAC,PSPST,648nm,62.247829
ACEMAC,PSPST,649nm,61.706902
ACEMAC,PSPST,650nm,61.159981
ACEMAC,PSPST,651nm,60.592354
ACEMAC,PSPST,652nm,60.193432
ACEMAC,PSPST,653nm,59.924419
ACEMAC,PSPST,654nm,59.754906
ACEMAC,PSPST,655nm,59.618671
ACEMAC,PSPST,656nm,59.554401
ACEMAC,PSPST,657nm,59.439182
ACEMAC,PSPST,658nm,59.285961
ACEMAC,PSPST,659nm,59.282776
ACEMAC,PSPST,660nm,59.305458
ACEMAC,PSPST,661nm,59.361813
ACEMAC,PSPST,662nm,59.458141
ACEMAC,PSPST,663nm,59.581146
ACEMAC,PSPST,664nm,59.505508
ACEMAC,PSPST,665nm,59.382214
ACEMAC,PSPST,666nm,59.172058
ACEMAC,PSPST,667nm,58.923492
ACEMAC,PSPST,668nm,58.653942
ACEMAC,PSPST,669nm,58.408363
ACEMAC,PSPST,670nm,58.178516
ACEMAC,PSPST,671nm,57.977161
ACEMAC,PSPST,672nm,57.814186
ACEMAC,PSPST,673nm,57.667923
ACEMAC,PSPST,674nm,57.537937
ACEMAC,PSPST,675nm,57.406471
ACEMAC,PSPST,676nm,57.27309
ACEMAC,PSPST,677nm,57.134705
ACEMAC,PSPST,678nm,57.004162
ACEMAC,PSPST,679nm,56.918816
ACEMAC,PSPST,680nm,56.74242
ACEMAC,PSPST,681nm,56.487339
ACEMAC,PSPST,682nm,56.120411
ACEMAC,PSPST,683nm,55.783691
ACEMAC,PSPST,684nm,55.55299
ACEMAC,PSPST,685nm,55.569843
ACEMAC,PSPST,686nm,55.72403
ACEMAC,PSPST,687nm,56.105083
ACEMAC,PSPST,688nm,56.638817
ACEMAC,PSPST,689nm,57.386177
ACEMAC,PSPST,690nm,58.451778
ACEMAC,PSPST,691nm,59.696915
ACEMAC,PSPST,692nm,61.381184
ACEMAC,PSPST,693nm,63.27879
ACEMAC,PSPST,694nm,65.33535
ACEMAC,PSPST,695nm,67.412674
ACEMAC,PSPST,696nm,69.549232
ACEMAC,PSPST,697nm,71.791656
ACEMAC,PSPST,698nm,74.121048
ACEMAC,PSPST,699nm,76.486328
ACEMAC,PSPST,700nm,78.891998
ACEMAC,PSPST,701nm,81.344376
ACEMAC,PSPST,702nm,83.83532
ACEMAC,PSPST,703nm,86.318413
ACEMAC,PSPST,704nm,88.830551
ACEMAC,PSPST,705nm,91.396317
ACEMAC,PSPST,706nm,93.974213
ACEMAC,PSPST,707nm,96.510521
ACEMAC,PSPST,708nm,98.827248
ACEMAC,PSPST,709nm,100.864807
ACEMAC,PSPST,710nm,102.702858
ACEMAC,PSPST,711nm,103.80677
ACEMAC,PSPST,712nm,104.604713
ACEMAC,PSPST,713nm,104.973137
ACEMAC,PSPST,714nm,105.107834
ACEMAC,PSPST,715nm,105.222626
ACEMAC,PSPST,716nm,105.414444
ACEMAC,PSPST,717nm,105.746155
ACEMAC,PSPST,718nm,106.160683
