Species,Site,Variable,Value
ALNRUB,PSPST,577nm,53.609047
ALNRUB,PSPST,578nm,53.542416
ALNRUB,PSPST,579nm,53.438812
ALNRUB,PSPST,580nm,53.313934
ALNRUB,PSPST,581nm,53.153603
ALNRUB,PSPST,582nm,52.924068
ALNRUB,PSPST,583nm,52.653206
ALNRUB,PSPST,584nm,52.288231
ALNRUB,PSPST,585nm,51.903461
ALNRUB,PSPST,586nm,51.474342
ALNRUB,PSPST,587nm,51.048378
ALNRUB,PSPST,588nm,50.627346
ALNRUB,PSPST,589nm,50.25145
ALNRUB,PSPST,590nm,49.900009
ALNRUB,PSPST,591nm,49.61375
ALNRUB,PSPST,592nm,49.369114
ALNRUB,PSPST,593nm,49.294662
ALNRUB,PSPST,594nm,49.296669
ALNRUB,PSPST,595nm,49.398102
ALNRUB,PSPST,596nm,49.507526
ALNRUB,PSPST,597nm,49.620369
ALNRUB,PSPST,598nm,49.731449
ALNRUB,PSPST,599nm,49.830776
ALNRUB,PSPST,600nm,49.892559
ALNRUB,PSPST,601nm,49.945694
ALNRUB,PSPST,602nm,49.990479
ALNRUB,PSPST,603nm,49.955097
ALNRUB,PSPST,604nm,49.897118
ALNRUB,PSPST,605nm,49.834728
ALNRUB,PSPST,606nm,49.746243
ALNRUB,PSPST,607nm,49.605766
ALNRUB,PSPST,608nm,49.428558
ALNRUB,PSPST,609nm,49.228172
ALNRUB,PSPST,610nm,48.944183
ALNRUB,PSPST,611nm,48.663563
ALNRUB,PSPST,612nm,48.444649
ALNRUB,PSPST,613nm,48.242516
ALNRUB,PSPST,614nm,48.059956
ALNRUB,PSPST,615nm,47.861069
ALNRUB,PSPST,616nm,47.658405
ALNRUB,PSPST,617nm,47.500374
ALNRUB,PSPST,618nm,47.331715
ALNRUB,PSPST,619nm,47.141251
ALNRUB,PSPST,620nm,46.965069
ALNRUB,PSPST,621nm,46.797626
ALNRUB,PSPST,622nm,46.573528
ALNRUB,PSPST,623nm,46.336876
ALNRUB,PSPST,624nm,46.073074
ALNRUB,PSPST,625nm,45.825111
ALNRUB,PSPST,626nm,45.592377
ALNRUB,PSPST,627nm,45.410187
ALNRUB,PSPST,628nm,45.248898
ALNRUB,PSPST,629nm,45.158966
ALNRUB,PSPST,630nm,45.089039
ALNRUB,PSPST,631nm,45.047009
ALNRUB,PSPST,632nm,45.049717
ALNRUB,PSPST,633nm,45.069073
ALNRUB,PSPST,634nm,45.077206
ALNRUB,PSPST,635nm,45.077305
ALNRUB,PSPST,636nm,45.062057
ALNRUB,PSPST,637nm,44.985897
ALNRUB,PSPST,638nm,44.877857
ALNRUB,PSPST,639nm,44.73753
ALNRUB,PSPST,640nm,44.556629
ALNRUB,PSPST,641nm,44.277832
ALNRUB,PSPST,642nm,43.968212
ALNRUB,PSPST,643nm,43.638641
ALNRUB,PSPST,644nm,43.293262
ALNRUB,PSPST,645nm,42.958115
ALNRUB,PSPST,646nm,42.657097
ALNRUB,PSPST,647nm,42.32901
ALNRUB,PSPST,648nm,41.981049
ALNRUB,PSPST,649nm,41.622433
ALNRUB,PSPST,650nm,41.260159
ALNRUB,PSPST,651nm,40.88958
ALNRUB,PSPST,652nm,40.602795
ALNRUB,PSPST,653nm,40.380535
ALNRUB,PSPST,654nm,40.309162
ALNRUB,PSPST,655nm,40.262817
ALNRUB,PSPST,656nm,40.242626
ALNRUB,PSPST,657nm,40.218269
ALNRUB,PSPST,658nm,40.190807
ALNRUB,PSPST,659nm,40.203644
ALNRUB,PSPST,660nm,40.24725
ALNRUB,PSPST,661nm,40.369415
ALNRUB,PSPST,662nm,40.49144
ALNRUB,PSPST,663nm,40.613373
ALNRUB,PSPST,664nm,40.631565
ALNRUB,PSPST,665nm,40.605598
ALNRUB,PSPST,666nm,40.488316
ALNRUB,PSPST,667nm,40.373386
ALNRUB,PSPST,668nm,40.259747
ALNRUB,PSPST,669nm,40.137295
ALNRUB,PSPST,670nm,40.016102
ALNRUB,PSPST,671nm,39.897194
ALNRUB,PSPST,672nm,39.787682
ALNRUB,PSPST,673nm,39.682583
ALNRUB,PSPST,674nm,39.585522
ALNRUB,PSPST,675nm,39.489292
ALNRUB,PSPST,676nm,39.394138
ALNRUB,PSPST,677nm,39.265671
ALNRUB,PSPST,678nm,39.128071
ALNRUB,PSPST,679nm,38.986366
ALNRUB,PSPST,680nm,38.766304
ALNRUB,PSPST,681nm,38.478527
ALNRUB,PSPST,682nm,38.071884
ALNRUB,PSPST,683nm,37.668644
ALNRUB,PSPST,684nm,37.304852
ALNRUB,PSPST,685nm,37.046722
ALNRUB,PSPST,686nm,36.849831
ALNRUB,PSPST,687nm,36.819794
ALNRUB,PSPST,688nm,36.851189
ALNRUB,PSPST,689nm,36.96854
ALNRUB,PSPST,690nm,37.322479
ALNRUB,PSPST,691nm,37.7873
ALNRUB,PSPST,692nm,38.479263
ALNRUB,PSPST,693nm,39.341099
ALNRUB,PSPST,694nm,40.329498
ALNRUB,PSPST,695nm,41.333855
ALNRUB,PSPST,696nm,42.339802
ALNRUB,PSPST,697nm,43.347534
ALNRUB,PSPST,698nm,44.452446
ALNRUB,PSPST,699nm,45.590164
ALNRUB,PSPST,700nm,46.7309
ALNRUB,PSPST,701nm,47.885849
ALNRUB,PSPST,702nm,49.052544
ALNRUB,PSPST,703nm,50.275387
ALNRUB,PSPST,704nm,51.509644
ALNRUB,PSPST,705nm,52.7593
ALNRUB,PSPST,706nm,53.980354
ALNRUB,PSPST,707nm,55.170944
ALNRUB,PSPST,708nm,56.257416
ALNRUB,PSPST,709nm,57.187817
ALNRUB,PSPST,710nm,58.006664
ALNRUB,PSPST,711nm,58.347378
ALNRUB,PSPST,712nm,58.491268
ALNRUB,PSPST,713nm,58.35886
ALNRUB,PSPST,714nm,58.114853
ALNRUB,PSPST,715nm,57.87434
ALNRUB,PSPST,716nm,57.708359
ALNRUB,PSPST,717nm,57.581131
ALNRUB,PSPST,718nm,57.479553
ALNRUB,PSPST,719nm,57.439671
ALNRUB,PSPST,720nm,57.505806
ALNRUB,PSPST,721nm,57.663147
ALNRUB,PSPST,722nm,58.166763
ALNRUB,PSPST,723nm,58.918407
ALNRUB,PSPST,724nm,60.018986
ALNRUB,PSPST,725nm,61.383736
ALNRUB,PSPST,726nm,62.874481
ALNRUB,PSPST,727nm,64.559784
ALNRUB,PSPST,728nm,66.347206
ALNRUB,PSPST,729nm,68.225342
ALNRUB,PSPST,730nm,70.356979
ALNRUB,PSPST,731nm,72.536652
ALNRUB,PSPST,732nm,74.758423
ALNRUB,PSPST,733nm,77.148331
ALNRUB,PSPST,734nm,79.512711
ALNRUB,PSPST,735nm,81.853745
ALNRUB,PSPST,736nm,84.024963
ALNRUB,PSPST,737nm,86.141327
ALNRUB,PSPST,738nm,88.191895
ALNRUB,PSPST,739nm,90.022499
ALNRUB,PSPST,740nm,91.700409
ALNRUB,PSPST,741nm,93.153595
ALNRUB,PSPST,742nm,94.408012
ALNRUB,PSPST,743nm,95.609978
ALNRUB,PSPST,744nm,96.784805
ALNRUB,PSPST,745nm,97.765884
ALNRUB,PSPST,746nm,98.648972
ALNRUB,PSPST,747nm,99.40802
ALNRUB,PSPST,748nm,99.920654
ALNRUB,PSPST,749nm,100.263145
ALNRUB,PSPST,750nm,100.309952
ALNRUB,PSPST,751nm,99.941055
ALNRUB,PSPST,752nm,99.198082
ALNRUB,PSPST,753nm,97.581665
ALNRUB,PSPST,754nm,95.201958
ALNRUB,PSPST,755nm,92.25766
ALNRUB,PSPST,756nm,88.348114
ALNRUB,PSPST,757nm,84.415276
ALNRUB,PSPST,758nm,80.543312
ALNRUB,PSPST,759nm,77.079285
ALNRUB,PSPST,760nm,74.231995
ALNRUB,PSPST,761nm,71.931183
ALNRUB,PSPST,762nm,70.802589
ALNRUB,PSPST,763nm,70.608315
ALNRUB,PSPST,764nm,71.135147
ALNRUB,PSPST,765nm,72.840668
ALNRUB,PSPST,766nm,75.496407
ALNRUB,PSPST,767nm,78.773041
ALNRUB,PSPST,768nm,82.790459
ALNRUB,PSPST,769nm,86.714546
ALNRUB,PSPST,770nm,90.482574
ALNRUB,PSPST,771nm,93.881836
ALNRUB,PSPST,772nm,96.614647
ALNRUB,PSPST,773nm,98.890289
ALNRUB,PSPST,774nm,100.56015
ALNRUB,PSPST,775nm,101.689316
ALNRUB,PSPST,776nm,102.521729
ALNRUB,PSPST,777nm,103.030495
ALNRUB,PSPST,778nm,103.296776
ALNRUB,PSPST,779nm,103.451134
ALNRUB,PSPST,780nm,103.498199
ALNRUB,PSPST,Time,2019/08/14_10:04:08
ALNRUB,PSPST,LUX,1506.924805
ALNRUB,PSPST,fc,140.048767
ALNRUB,PSPST,CCT,5777
ALNRUB,PSPST,Duv,0.008324
ALNRUB,PSPST,I-Time,220
ALNRUB,PSPST,x,0.325874
ALNRUB,PSPST,y,0.351804
ALNRUB,PSPST,u',0.198404
ALNRUB,PSPST,v',0.481931
ALNRUB,PSPST,deltax,-0.000595
ALNRUB,PSPST,deltay,0.016026
ALNRUB,PSPST,deltau',-0.006394
ALNRUB,PSPST,deltav',0.007995
ALNRUB,PSPST,LambdaP,780
ALNRUB,PSPST,LambdaPV,78.277504
ALNRUB,PSPST,LambdaD,528
ALNRUB,PSPST,Purity,3.835917
ALNRUB,PSPST,IRR,9.984179
ALNRUB,PSPST,CRI,90.339867
ALNRUB,PSPST,R1,88.048431
ALNRUB,PSPST,R2,91.335243
ALNRUB,PSPST,R3,94.803825
ALNRUB,PSPST,R4,89.416885
ALNRUB,PSPST,R5,88.490059
ALNRUB,PSPST,R6,88.823784
ALNRUB,PSPST,R7,95.41597
ALNRUB,PSPST,R8,86.384789
ALNRUB,PSPST,R9,57.67617
ALNRUB,PSPST,R10,79.8032
ALNRUB,PSPST,R11,85.922493
ALNRUB,PSPST,R12,83.195328
ALNRUB,PSPST,R13,88.1017
ALNRUB,PSPST,R14,96.924278
ALNRUB,PSPST,R15,85.818016
ALNRUB,PSPST,PPFD,25.282158
ALNRUB,PSPST,PFD,52.304089
ALNRUB,PSPST,PFD-UV,0.783256
ALNRUB,PSPST,PFD-B,7.060977
ALNRUB,PSPST,PFD-G,9.855398
ALNRUB,PSPST,PFD-R,8.540072
ALNRUB,PSPST,PFD-FR,26.418856
ALNRUB,PSPST,380nm,9.983148
ALNRUB,PSPST,381nm,10.04513
ALNRUB,PSPST,382nm,10.093196
ALNRUB,PSPST,383nm,10.092379
ALNRUB,PSPST,384nm,10.020996
ALNRUB,PSPST,385nm,10.084045
ALNRUB,PSPST,386nm,10.261383
ALNRUB,PSPST,387nm,10.29845
ALNRUB,PSPST,388nm,10.267001
ALNRUB,PSPST,389nm,10.439974
ALNRUB,PSPST,390nm,10.662978
ALNRUB,PSPST,391nm,10.72298
ALNRUB,PSPST,392nm,10.790156
ALNRUB,PSPST,393nm,11.116395
ALNRUB,PSPST,394nm,11.481463
ALNRUB,PSPST,395nm,12.003176
ALNRUB,PSPST,396nm,12.505379
ALNRUB,PSPST,397nm,12.968136
ALNRUB,PSPST,398nm,13.542971
ALNRUB,PSPST,399nm,14.247633
ALNRUB,PSPST,400nm,14.852377
ALNRUB,PSPST,401nm,15.389413
ALNRUB,PSPST,402nm,15.967891
ALNRUB,PSPST,403nm,16.561773
ALNRUB,PSPST,404nm,16.819035
ALNRUB,PSPST,405nm,17.022602
ALNRUB,PSPST,406nm,17.102306
ALNRUB,PSPST,407nm,17.169996
ALNRUB,PSPST,408nm,17.160656
ALNRUB,PSPST,409nm,17.174681
ALNRUB,PSPST,410nm,17.253593
ALNRUB,PSPST,411nm,17.352533
ALNRUB,PSPST,412nm,17.481564
ALNRUB,PSPST,413nm,17.564106
ALNRUB,PSPST,414nm,17.606245
ALNRUB,PSPST,415nm,17.667498
ALNRUB,PSPST,416nm,17.738123
ALNRUB,PSPST,417nm,17.726162
ALNRUB,PSPST,418nm,17.694471
ALNRUB,PSPST,419nm,17.634258
ALNRUB,PSPST,420nm,17.571016
ALNRUB,PSPST,421nm,17.492682
ALNRUB,PSPST,422nm,17.401964
ALNRUB,PSPST,423nm,17.2672
ALNRUB,PSPST,424nm,17.080244
ALNRUB,PSPST,425nm,16.799679
ALNRUB,PSPST,426nm,16.565699
ALNRUB,PSPST,427nm,16.378839
ALNRUB,PSPST,428nm,16.299818
ALNRUB,PSPST,429nm,16.282265
ALNRUB,PSPST,430nm,16.305105
ALNRUB,PSPST,431nm,16.33951
ALNRUB,PSPST,432nm,16.453691
ALNRUB,PSPST,433nm,16.577639
ALNRUB,PSPST,434nm,16.743408
ALNRUB,PSPST,435nm,16.955385
ALNRUB,PSPST,436nm,17.348986
ALNRUB,PSPST,437nm,17.682993
ALNRUB,PSPST,438nm,17.904394
ALNRUB,PSPST,439nm,18.123419
ALNRUB,PSPST,440nm,18.33997
ALNRUB,PSPST,441nm,18.507954
ALNRUB,PSPST,442nm,18.648008
ALNRUB,PSPST,443nm,18.882441
ALNRUB,PSPST,444nm,19.143415
ALNRUB,PSPST,445nm,19.44101
ALNRUB,PSPST,446nm,19.728539
ALNRUB,PSPST,447nm,19.854399
ALNRUB,PSPST,448nm,19.970228
ALNRUB,PSPST,449nm,20.050951
ALNRUB,PSPST,450nm,20.15073
ALNRUB,PSPST,451nm,20.28278
ALNRUB,PSPST,452nm,20.381489
ALNRUB,PSPST,453nm,20.449547
ALNRUB,PSPST,454nm,20.471378
ALNRUB,PSPST,455nm,20.470633
ALNRUB,PSPST,456nm,20.442919
ALNRUB,PSPST,457nm,20.409426
ALNRUB,PSPST,458nm,20.419277
ALNRUB,PSPST,459nm,20.426022
ALNRUB,PSPST,460nm,20.404867
ALNRUB,PSPST,461nm,20.363487
ALNRUB,PSPST,462nm,20.271208
ALNRUB,PSPST,463nm,20.177113
ALNRUB,PSPST,464nm,20.080694
ALNRUB,PSPST,465nm,19.994036
ALNRUB,PSPST,466nm,19.913979
ALNRUB,PSPST,467nm,19.824329
ALNRUB,PSPST,468nm,19.731554
ALNRUB,PSPST,469nm,19.672758
ALNRUB,PSPST,470nm,19.620855
ALNRUB,PSPST,471nm,19.615566
ALNRUB,PSPST,472nm,19.612879
ALNRUB,PSPST,473nm,19.618732
ALNRUB,PSPST,474nm,19.636389
ALNRUB,PSPST,475nm,19.672096
ALNRUB,PSPST,476nm,19.686218
ALNRUB,PSPST,477nm,19.683266
ALNRUB,PSPST,478nm,19.636959
ALNRUB,PSPST,479nm,19.574005
ALNRUB,PSPST,480nm,19.420593
ALNRUB,PSPST,481nm,19.25633
ALNRUB,PSPST,482nm,19.102087
ALNRUB,PSPST,483nm,18.955463
ALNRUB,PSPST,484nm,18.835552
ALNRUB,PSPST,485nm,18.729198
ALNRUB,PSPST,486nm,18.643986
ALNRUB,PSPST,487nm,18.557249
ALNRUB,PSPST,488nm,18.469316
ALNRUB,PSPST,489nm,18.43339
ALNRUB,PSPST,490nm,18.4165
ALNRUB,PSPST,491nm,18.515093
ALNRUB,PSPST,492nm,18.623075
ALNRUB,PSPST,493nm,18.698044
ALNRUB,PSPST,494nm,18.746264
ALNRUB,PSPST,495nm,18.715605
ALNRUB,PSPST,496nm,18.686924
ALNRUB,PSPST,497nm,18.660868
ALNRUB,PSPST,498nm,18.631897
