variable,species,avg
503nm,ACEGLA,-878.2338206666667
503nm,ACEMAC,-461.7668477037037
503nm,ALNRUB,-497.95717916666666
503nm,POPTRI,-992.6293923333335
503nm,THUPLI,-710.2655268
503nm,TSUHET,-758.1248956666666
504nm,ACEGLA,-879.0455588333333
504nm,ACEMAC,-462.19996792592593
504nm,ALNRUB,-498.52247896666665
504nm,POPTRI,-993.357978
504nm,THUPLI,-710.77053
504nm,TSUHET,-758.8770253333333
505nm,ACEGLA,-880.1976658333333
505nm,ACEMAC,-462.77907407407406
505nm,ALNRUB,-499.22245423333334
505nm,POPTRI,-994.4324353333333
505nm,THUPLI,-711.5326952666667
505nm,TSUHET,-759.943423
506nm,ACEGLA,-882.0393813333334
506nm,ACEMAC,-463.65394085185187
506nm,ALNRUB,-500.1952859333333
506nm,POPTRI,-996.2079990000001
506nm,THUPLI,-712.8159964
506nm,TSUHET,-761.6465523333334
507nm,ACEGLA,-883.3893945
507nm,ACEMAC,-464.27832044444443
507nm,ALNRUB,-500.9456897333333
507nm,POPTRI,-997.6160499999999
507nm,THUPLI,-713.7144226666667
507nm,TSUHET,-762.7656913333333
508nm,ACEGLA,-884.275533
508nm,ACEMAC,-464.66645859259256
508nm,ALNRUB,-501.48626716666666
508nm,POPTRI,-998.6775873333333
508nm,THUPLI,-714.2499119333334
508nm,TSUHET,-763.3340246666667
509nm,ACEGLA,-882.8642503333333
509nm,ACEMAC,-463.97672414814815
509nm,ALNRUB,-500.7807816
509nm,POPTRI,-997.0094506666666
509nm,THUPLI,-713.0613758666666
509nm,TSUHET,-762.1664906666666
510nm,ACEGLA,-880.4694406666666
510nm,ACEMAC,-462.8255281851852
510nm,ALNRUB,-499.54186756666667
510nm,POPTRI,-994.172492
510nm,THUPLI,-711.1347722
510nm,TSUHET,-760.2557896666666
511nm,ACEGLA,-875.4742601666667
511nm,ACEMAC,-460.1314841851852
511nm,ALNRUB,-496.7094255333334
511nm,POPTRI,-988.2892553333332
511nm,THUPLI,-707.0538938
511nm,TSUHET,-755.9593326666667
512nm,ACEGLA,-870.1898165
512nm,ACEMAC,-457.2772805925926
512nm,ALNRUB,-493.7047876
512nm,POPTRI,-982.0940143333333
512nm,THUPLI,-702.7204849999999
512nm,TSUHET,-751.407524
513nm,ACEGLA,-865.4128445
513nm,ACEMAC,-454.8647132962963
513nm,ALNRUB,-491.0728906
513nm,POPTRI,-976.8225466666667
513nm,THUPLI,-698.6495745333334
513nm,TSUHET,-747.4436976666667
514nm,ACEGLA,-861.2161120000001
514nm,ACEMAC,-452.76435792592594
514nm,ALNRUB,-488.7604824333333
514nm,POPTRI,-972.0105833333333
514nm,THUPLI,-695.1227401333333
514nm,TSUHET,-743.961847
515nm,ACEGLA,-858.6271418333333
515nm,ACEMAC,-451.5291373333333
515nm,ALNRUB,-487.33330236666666
515nm,POPTRI,-968.4713756666666
515nm,THUPLI,-693.1034523333334
515nm,TSUHET,-741.815308
516nm,ACEGLA,-856.8586796666666
516nm,ACEMAC,-450.5840637037037
516nm,ALNRUB,-486.34303243333335
516nm,POPTRI,-966.2318616666666
516nm,THUPLI,-691.6089294666666
516nm,TSUHET,-740.4610329999999
517nm,ACEGLA,-856.0674515000001
517nm,ACEMAC,-449.9845526666667
517nm,ALNRUB,-485.8730935
517nm,POPTRI,-965.5400056666666
517nm,THUPLI,-690.73935
517nm,TSUHET,-740.050195
518nm,ACEGLA,-856.5586079999999
518nm,ACEMAC,-450.19239792592595
518nm,ALNRUB,-486.1262271
518nm,POPTRI,-965.832528
518nm,THUPLI,-691.0504492
518nm,TSUHET,-740.506438
519nm,ACEGLA,-857.7435866666666
519nm,ACEMAC,-450.83703596296294
519nm,ALNRUB,-486.77053916666665
519nm,POPTRI,-966.657637
519nm,THUPLI,-692.0003376
519nm,TSUHET,-741.4318133333334
520nm,ACEGLA,-859.5376671666667
520nm,ACEMAC,-451.7535971481482
520nm,ALNRUB,-487.869119
520nm,POPTRI,-968.2462546666666
520nm,THUPLI,-693.4302324
520nm,TSUHET,-742.8856176666667
521nm,ACEGLA,-861.5790596666667
521nm,ACEMAC,-452.7941317037037
521nm,ALNRUB,-489.1230241
521nm,POPTRI,-970.123195
521nm,THUPLI,-695.0511824
521nm,TSUHET,-744.5577026666666
522nm,ACEGLA,-866.9655088333333
522nm,ACEMAC,-455.666364962963
522nm,ALNRUB,-492.14459493333334
522nm,POPTRI,-975.65077899999994
522nm,THUPLI,-699.2110716
522nm,TSUHET,-749.224482
523nm,ACEGLA,-872.5950584999999
523nm,ACEMAC,-458.6445132592592
523nm,ALNRUB,-495.3159119333333
523nm,POPTRI,-981.4441023333334
523nm,THUPLI,-703.5724188
523nm,TSUHET,-754.1303706666666
524nm,ACEGLA,-879.0138721666667
524nm,ACEMAC,-461.96652185185184
524nm,ALNRUB,-498.97345186666666
524nm,POPTRI,-988.100177
524nm,THUPLI,-708.5879463333333
524nm,TSUHET,-759.8128746666666
525nm,ACEGLA,-884.4878016666667
525nm,ACEMAC,-464.83275674074076
525nm,ALNRUB,-502.1654077
525nm,POPTRI,-993.9835356666666
525nm,THUPLI,-712.9307422
525nm,TSUHET,-764.661454
526nm,ACEGLA,-888.7291251666667
526nm,ACEMAC,-467.1044804074074
526nm,ALNRUB,-504.75001983333334
526nm,POPTRI,-998.8589203333332
526nm,THUPLI,-716.3959824666666
526nm,TSUHET,-768.4222540000001
527nm,ACEGLA,-891.713776
527nm,ACEMAC,-468.67497099999997
527nm,ALNRUB,-506.5125883
527nm,POPTRI,-1001.912513
527nm,THUPLI,-718.7990017999999
527nm,TSUHET,-770.9557173333334
528nm,ACEGLA,-893.9724036666667
528nm,ACEMAC,-469.8404045925926
528nm,ALNRUB,-507.8003215333334
528nm,POPTRI,-1003.9138543333333
528nm,THUPLI,-720.5884005333334
528nm,TSUHET,-772.7802196666668
529nm,ACEGLA,-896.065992
529nm,ACEMAC,-470.92535929629634
529nm,ALNRUB,-509.09484296666665
529nm,POPTRI,-1006.1019270000002
529nm,THUPLI,-722.2061198
529nm,TSUHET,-774.7035040000001
530nm,ACEGLA,-898.1790149999999
530nm,ACEMAC,-472.02220151851856
530nm,ALNRUB,-510.4111028
530nm,POPTRI,-1008.3775703333334
530nm,THUPLI,-723.8273388666667
530nm,TSUHET,-776.690327
531nm,ACEGLA,-901.6047163333333
531nm,ACEMAC,-473.8201657777778
531nm,ALNRUB,-512.2423964333334
531nm,POPTRI,-1011.9348826666668
531nm,THUPLI,-726.3924985333333
531nm,TSUHET,-779.7891053333333
532nm,ACEGLA,-904.6559921666666
532nm,ACEMAC,-475.4014490740741
532nm,ALNRUB,-513.9107714
532nm,POPTRI,-1015.1352673333333
532nm,THUPLI,-728.6715883333334
532nm,TSUHET,-782.4705916666667
533nm,ACEGLA,-906.5387943333333
533nm,ACEMAC,-476.30654855555554
533nm,ALNRUB,-515.0706828666666
533nm,POPTRI,-1017.221913
533nm,THUPLI,-730.0580514666667
533nm,TSUHET,-783.849904
534nm,ACEGLA,-907.2176949999999
534nm,ACEMAC,-476.6107641481481
534nm,ALNRUB,-515.5162072666667
534nm,POPTRI,-1017.9453246666667
534nm,THUPLI,-730.4605752666666
534nm,TSUHET,-784.276843
535nm,ACEGLA,-906.4173093333334
535nm,ACEMAC,-476.1765725925926
535nm,ALNRUB,-515.0838609
535nm,POPTRI,-1016.9935300000001
535nm,THUPLI,-729.6540481999999
535nm,TSUHET,-783.5334456666667
536nm,ACEGLA,-905.3582879999999
536nm,ACEMAC,-475.6750152592593
536nm,ALNRUB,-514.6140643333333
536nm,POPTRI,-1015.900593
536nm,THUPLI,-728.7669358
536nm,TSUHET,-782.8734653333332
537nm,ACEGLA,-904.1636471666666
537nm,ACEMAC,-475.13816348148146
537nm,ALNRUB,-514.1246617666667
537nm,POPTRI,-1014.7336286666667
537nm,THUPLI,-727.8375372666667
537nm,TSUHET,-782.2571863333334
538nm,ACEGLA,-904.1848375
538nm,ACEMAC,-475.1491213333333
538nm,ALNRUB,-514.1776743
538nm,POPTRI,-1014.2902133333334
538nm,THUPLI,-727.7034871333333
538nm,TSUHET,-782.0401019999999
539nm,ACEGLA,-904.3881031666666
539nm,ACEMAC,-475.2375447037037
539nm,ALNRUB,-514.3079717
539nm,POPTRI,-1014.0351426666665
539nm,THUPLI,-727.6819308
539nm,TSUHET,-781.8679053333334
540nm,ACEGLA,-904.5016076666667
540nm,ACEMAC,-475.23048292592597
540nm,ALNRUB,-514.3508301
540nm,POPTRI,-1014.7008553333334
540nm,THUPLI,-727.5220364666667
540nm,TSUHET,-781.485085
541nm,ACEGLA,-904.427097
541nm,ACEMAC,-475.1523804074074
541nm,ALNRUB,-514.2969067666667
541nm,POPTRI,-1014.780038
541nm,THUPLI,-727.2527523333333
541nm,TSUHET,-781.2301746666667
542nm,ACEGLA,-903.8878493333333
542nm,ACEMAC,-474.89868711111114
542nm,ALNRUB,-514.0038661
542nm,POPTRI,-1013.409735
542nm,THUPLI,-726.7130583333334
542nm,TSUHET,-781.2911200000001
543nm,ACEGLA,-903.9005985
543nm,ACEMAC,-474.8773886296296
543nm,ALNRUB,-514.0158930666666
543nm,POPTRI,-1013.3283163333334
543nm,THUPLI,-726.5192725333334
543nm,TSUHET,-781.3962936666666
544nm,ACEGLA,-904.4609703333333
544nm,ACEMAC,-475.0867374444444
544nm,ALNRUB,-514.3305914333333
544nm,POPTRI,-1014.5257760000001
544nm,THUPLI,-726.6686922
544nm,TSUHET,-781.5452753333333
545nm,ACEGLA,-905.5952053333333
545nm,ACEMAC,-475.6705
545nm,ALNRUB,-514.9818810333334
545nm,POPTRI,-1015.7848196666667
545nm,THUPLI,-727.6603984666666
545nm,TSUHET,-782.6596236666667
546nm,ACEGLA,-906.9555805
546nm,ACEMAC,-476.401843
546nm,ALNRUB,-515.7658475000001
546nm,POPTRI,-1017.068324
546nm,THUPLI,-728.9840628000001
546nm,TSUHET,-784.1544253333334
547nm,ACEGLA,-908.3455891666666
547nm,ACEMAC,-477.18603374074075
547nm,ALNRUB,-516.678317
547nm,POPTRI,-1018.7101596666666
547nm,THUPLI,-729.9658161333333
547nm,TSUHET,-785.1202079999999
548nm,ACEGLA,-909.6355535
548nm,ACEMAC,-477.8844725185185
548nm,ALNRUB,-517.5042339666667
548nm,POPTRI,-1020.1945143333334
548nm,THUPLI,-730.7980905333333
548nm,TSUHET,-785.9909066666667
549nm,ACEGLA,-910.359672
549nm,ACEMAC,-478.087673
549nm,ALNRUB,-517.8007206666667
549nm,POPTRI,-1020.6662413333333
549nm,THUPLI,-730.9358441333334
549nm,TSUHET,-786.5415556666667
550nm,ACEGLA,-910.5786899999999
550nm,ACEMAC,-478.1432510740741
550nm,ALNRUB,-517.8638866
550nm,POPTRI,-1020.8418506666667
550nm,THUPLI,-730.8759716666666
550nm,TSUHET,-786.7567133333333
551nm,ACEGLA,-909.9490663333333
551nm,ACEMAC,-477.95076962962963
551nm,ALNRUB,-517.5350781666667
551nm,POPTRI,-1020.5200263333332
551nm,THUPLI,-730.484127
551nm,TSUHET,-786.408358
552nm,ACEGLA,-909.0372018333335
552nm,ACEMAC,-477.45299525925924
552nm,ALNRUB,-517.1032754666667
552nm,POPTRI,-1019.5866659999999
552nm,THUPLI,-729.6911541333333
552nm,TSUHET,-785.6702733333333
553nm,ACEGLA,-907.9332711666667
553nm,ACEMAC,-476.7474085555556
553nm,ALNRUB,-516.6012970333334
553nm,POPTRI,-1018.2368849999999
553nm,THUPLI,-728.6250974666667
553nm,TSUHET,-784.6669693333334
554nm,ACEGLA,-906.6266263333333
554nm,ACEMAC,-475.9133398888889
554nm,ALNRUB,-515.7639286
554nm,POPTRI,-1016.1409126666666
554nm,THUPLI,-727.3336914666667
554nm,TSUHET,-783.289494
555nm,ACEGLA,-905.2753363333334
555nm,ACEMAC,-475.053790037037
555nm,ALNRUB,-514.8562451
555nm,POPTRI,-1013.9314493333335
555nm,THUPLI,-725.9936419333334
555nm,TSUHET,-781.8218866666667
556nm,ACEGLA,-903.9292278333334
556nm,ACEMAC,-474.2592641111111
556nm,ALNRUB,-514.0364075333333
556nm,POPTRI,-1012.8574029999999
556nm,THUPLI,-724.6827940666667
556nm,TSUHET,-780.1964173333333
557nm,ACEGLA,-902.5729801666668
557nm,ACEMAC,-473.50564592592593
557nm,ALNRUB,-513.2310796666667
557nm,POPTRI,-1011.6768233333332
557nm,THUPLI,-723.4292940666667
557nm,TSUHET,-778.7895376666667
558nm,ACEGLA,-901.1894838333333
558nm,ACEMAC,-472.86228762962963
558nm,ALNRUB,-512.4648717666666
558nm,POPTRI,-1010.2094510000001
558nm,THUPLI,-722.3303572
558nm,TSUHET,-777.9718459999999
559nm,ACEGLA,-899.6898133333333
559nm,ACEMAC,-472.01574403703705
559nm,ALNRUB,-511.5834408333333
559nm,POPTRI,-1008.3848683333333
559nm,THUPLI,-720.9952556000001
559nm,TSUHET,-776.7110533333333
560nm,ACEGLA,-898.0735861666667
560nm,ACEMAC,-470.965107962963
560nm,ALNRUB,-510.5862951666667
560nm,POPTRI,-1006.2017246666666
560nm,THUPLI,-719.4229938666667
560nm,TSUHET,-775.0053270000001
561nm,ACEGLA,-896.4987801666667
561nm,ACEMAC,-469.9939171851852
561nm,ALNRUB,-509.6297315
561nm,POPTRI,-1004.0120806666666
561nm,THUPLI,-717.9047316
561nm,TSUHET,-773.5503173333333
562nm,ACEGLA,-894.9393565
562nm,ACEMAC,-469.0522271851852
562nm,ALNRUB,-508.68825253333335
562nm,POPTRI,-1001.8199753333333
562nm,THUPLI,-716.4065528666667
562nm,TSUHET,-772.1884650000001
563nm,ACEGLA,-894.2820506666667
563nm,ACEMAC,-468.64203303703704
563nm,ALNRUB,-508.18102753333335
563nm,POPTRI,-1000.5602640000001
563nm,THUPLI,-715.492204
563nm,TSUHET,-771.0200426666667
564nm,ACEGLA,-893.5557655
564nm,ACEMAC,-468.18754944444447
564nm,ALNRUB,-507.66577359999997
564nm,POPTRI,-999.2445106666667
564nm,THUPLI,-714.5768334
564nm,TSUHET,-769.9034543333335
565nm,ACEGLA,-892.3930588333334
565nm,ACEMAC,-467.4607076666667
565nm,ALNRUB,-507.04450076666666
565nm,POPTRI,-997.5407653333334
565nm,THUPLI,-713.5595031333334
565nm,TSUHET,-768.9689863333334
566nm,ACEGLA,-891.5381295
566nm,ACEMAC,-466.9020517037037
566nm,ALNRUB,-506.57495723333335
566nm,POPTRI,-996.2898516666668
566nm,THUPLI,-712.7891925333333
566nm,TSUHET,-768.179773
567nm,ACEGLA,-891.0910156666667
567nm,ACEMAC,-466.56630714814816
567nm,ALNRUB,-506.3065764333333
567nm,POPTRI,-995.6392443333333
567nm,THUPLI,-712.3463898666666
567nm,TSUHET,-767.5830343333333
568nm,ACEGLA,-890.5734108333332
568nm,ACEMAC,-466.108817962963
568nm,ALNRUB,-505.89673466666665
568nm,POPTRI,-994.7129159999998
568nm,THUPLI,-711.6828071333333
568nm,TSUHET,-767.016943
569nm,ACEGLA,-890.0205353333333
569nm,ACEMAC,-465.5905534814815
569nm,ALNRUB,-505.4162745333333
569nm,POPTRI,-993.6488383333333
569nm,THUPLI,-710.9089828
569nm,TSUHET,-766.466123
570nm,ACEGLA,-889.7750643333334
570nm,ACEMAC,-465.294822037037
570nm,ALNRUB,-505.19033106666666
570nm,POPTRI,-992.7421956666667
570nm,THUPLI,-710.4334705333333
570nm,TSUHET,-765.9533193333333
571nm,ACEGLA,-889.6009203333333
571nm,ACEMAC,-465.0720238148148
571nm,ALNRUB,-505.03934499999997
571nm,POPTRI,-991.9006033333334
571nm,THUPLI,-710.0567769333334
571nm,TSUHET,-765.5036333333334
572nm,ACEGLA,-889.6561763333334
572nm,ACEMAC,-465.139904037037
572nm,ALNRUB,-505.1713316666667
572nm,POPTRI,-991.3433503333332
572nm,THUPLI,-710.075632
572nm,TSUHET,-765.3993833333334
573nm,ACEGLA,-889.9679131666667
573nm,ACEMAC,-465.2500072962963
573nm,ALNRUB,-505.3949419666667
573nm,POPTRI,-991.3946663333334
573nm,THUPLI,-710.2184906666668
573nm,TSUHET,-765.4462006666666
574nm,ACEGLA,-890.6833738333333
574nm,ACEMAC,-465.4265754074074
574nm,ALNRUB,-505.76279653333336
574nm,POPTRI,-992.4040646666667
574nm,THUPLI,-710.5565266
574nm,TSUHET,-765.730683
575nm,ACEGLA,-892.0142166666666
575nm,ACEMAC,-466.0726446296296
575nm,ALNRUB,-506.52188433333333
575nm,POPTRI,-993.8158576666666
575nm,THUPLI,-711.5044015999999
575nm,TSUHET,-766.6745016666666
576nm,ACEGLA,-893.70269
576nm,ACEMAC,-466.99148737037035
576nm,ALNRUB,-507.5082783666667
576nm,POPTRI,-995.4616309999999
576nm,THUPLI,-712.8065661333334
576nm,TSUHET,-768.0013686666667
577nm,ACEGLA,-895.3784175000001
577nm,ACEMAC,-467.6911191851852
577nm,ALNRUB,-508.3658564666666
577nm,POPTRI,-997.0135200000001
577nm,THUPLI,-714.0107865333333
577nm,TSUHET,-769.4740840000001
578nm,ACEGLA,-896.8871893333334
578nm,ACEMAC,-468.319281962963
578nm,ALNRUB,-509.1494806
578nm,POPTRI,-998.4642816666667
578nm,THUPLI,-715.0826582
578nm,TSUHET,-770.7689426666667
579nm,ACEGLA,-897.248335
579nm,ACEMAC,-468.66163892592596
579nm,ALNRUB,-509.54302026666664
579nm,POPTRI,-999.3023596666666
579nm,THUPLI,-715.3285822666667
579nm,TSUHET,-770.6862616666666
580nm,ACEGLA,-897.4255513333334
580nm,ACEMAC,-468.8495843333333
580nm,ALNRUB,-509.7896398
580nm,POPTRI,-999.6921606666666
580nm,THUPLI,-715.3864618666667
580nm,TSUHET,-770.4845253333333
581nm,ACEGLA,-897.2963726666667
581nm,ACEMAC,-468.7802168148148
581nm,ALNRUB,-509.791477
581nm,POPTRI,-999.3352293333332
581nm,THUPLI,-715.1311109333334
581nm,TSUHET,-770.0843779999999
582nm,ACEGLA,-896.0718131666666
582nm,ACEMAC,-468.15584144444443
582nm,ALNRUB,-509.21577483333334
582nm,POPTRI,-998.085176
582nm,THUPLI,-714.0220200666666
582nm,TSUHET,-768.8905756666667
583nm,ACEGLA,-894.1932025
583nm,ACEMAC,-467.20011833333336
583nm,ALNRUB,-508.2952559666667
583nm,POPTRI,-996.3020033333332
583nm,THUPLI,-712.4031753333334
583nm,TSUHET,-767.2228636666667
584nm,ACEGLA,-891.0354358333333
584nm,ACEMAC,-465.4906182222222
584nm,ALNRUB,-506.5443859
584nm,POPTRI,-992.4105686666667
584nm,THUPLI,-709.8052014666666
584nm,TSUHET,-764.5372503333334
585nm,ACEGLA,-887.6759778333334
585nm,ACEMAC,-463.645218
585nm,ALNRUB,-504.62867703333336
585nm,POPTRI,-988.1530780000002
585nm,THUPLI,-706.9955039333333
585nm,TSUHET,-761.6516113333333
586nm,ACEGLA,-884.1496788333333
586nm,ACEMAC,-461.59121007407407
586nm,ALNRUB,-502.3850568666667
586nm,POPTRI,-983.4042416666666
586nm,THUPLI,-703.6867063333334
586nm,TSUHET,-758.3772213333334
587nm,ACEGLA,-880.3740416666667
587nm,ACEMAC,-459.4816867407407
587nm,ALNRUB,-500.12494303333335
587nm,POPTRI,-978.6190953333335
587nm,THUPLI,-700.3824218
587nm,TSUHET,-755.0001146666666
588nm,ACEGLA,-876.2086126666667
588nm,ACEMAC,-457.2854712962963
588nm,ALNRUB,-497.8390455
588nm,POPTRI,-973.7774503333333
588nm,THUPLI,-697.0851845333333
588nm,TSUHET,-751.4625253333334
589nm,ACEGLA,-872.6095755
589nm,ACEMAC,-455.34958811111113
589nm,ALNRUB,-495.86181273333335
589nm,POPTRI,-969.5155026666667
589nm,THUPLI,-694.1205692
589nm,TSUHET,-748.2607743333333
590nm,ACEGLA,-869.3174290000001
590nm,ACEMAC,-453.5547487037037
590nm,ALNRUB,-494.05180583333333
590nm,POPTRI,-965.567723
590nm,THUPLI,-691.3361652666667
590nm,TSUHET,-745.2409816666666
591nm,ACEGLA,-866.824649
591nm,ACEMAC,-452.2597264074074
591nm,ALNRUB,-492.70244433333335
591nm,POPTRI,-962.6974143333333
591nm,THUPLI,-689.1646696
591nm,TSUHET,-742.9332396666666
592nm,ACEGLA,-864.9337370000001
592nm,ACEMAC,-451.27517903703705
592nm,ALNRUB,-491.65916973333333
592nm,POPTRI,-960.4365183333333
592nm,THUPLI,-687.468932
592nm,TSUHET,-741.142917
593nm,ACEGLA,-865.5734393333332
593nm,ACEMAC,-451.55357248148147
593nm,ALNRUB,-491.8766171
593nm,POPTRI,-960.6073613333333
593nm,THUPLI,-687.7828372666667
593nm,TSUHET,-741.5157373333333
594nm,ACEGLA,-866.8882325000001
594nm,ACEMAC,-452.2680721481481
594nm,ALNRUB,-492.6389910666667
594nm,POPTRI,-961.830885
594nm,THUPLI,-688.6711619333333
594nm,TSUHET,-742.493704
595nm,ACEGLA,-869.081029
595nm,ACEMAC,-453.54972499999997
595nm,ALNRUB,-494.1100082
595nm,POPTRI,-964.4231826666667
595nm,THUPLI,-690.3065939333334
595nm,TSUHET,-744.2587203333334
596nm,ACEGLA,-871.2142891666667
596nm,ACEMAC,-454.7696730740741
596nm,ALNRUB,-495.52418996666665
596nm,POPTRI,-967.0792846666667
596nm,THUPLI,-692.0880879333333
596nm,TSUHET,-746.0134683333334
597nm,ACEGLA,-873.3221051666667
597nm,ACEMAC,-455.9632256296297
597nm,ALNRUB,-496.9140931333333
597nm,POPTRI,-969.762612
597nm,THUPLI,-693.9320769999999
597nm,TSUHET,-747.7637910000001
598nm,ACEGLA,-875.2719753333333
598nm,ACEMAC,-457.0091419259259
598nm,ALNRUB,-498.0576379666667
598nm,POPTRI,-971.9569316666666
598nm,THUPLI,-695.2780626
598nm,TSUHET,-749.2676316666667
599nm,ACEGLA,-877.1327603333334
599nm,ACEMAC,-458.004308
599nm,ALNRUB,-499.14114363333334
599nm,POPTRI,-974.0666166666666
599nm,THUPLI,-696.6117721333334
599nm,TSUHET,-750.729753
600nm,ACEGLA,-878.7242328333334
600nm,ACEMAC,-458.85220477777773
600nm,ALNRUB,-500.05804066666667
600nm,POPTRI,-975.956451
600nm,THUPLI,-697.9587431333333
600nm,TSUHET,-752.084131
601nm,ACEGLA,-879.875685
601nm,ACEMAC,-459.55355874074075
601nm,ALNRUB,-500.9066122
601nm,POPTRI,-977.4067246666666
601nm,THUPLI,-698.9838907333333
601nm,TSUHET,-753.1730516666667
602nm,ACEGLA,-880.6022916666666
602nm,ACEMAC,-460.1135157037037
602nm,ALNRUB,-501.6892691
602nm,POPTRI,-978.4326560000001
602nm,THUPLI,-699.698421
602nm,TSUHET,-754.0056163333333
603nm,ACEGLA,-881.1310658333333
603nm,ACEMAC,-460.4802755555555
603nm,ALNRUB,-502.19876143333335
603nm,POPTRI,-979.333396
603nm,THUPLI,-700.0655194666666
603nm,TSUHET,-754.439635
604nm,ACEGLA,-881.6007053333334
604nm,ACEMAC,-460.7791706296296
604nm,ALNRUB,-502.6132614
604nm,POPTRI,-980.166769
604nm,THUPLI,-700.3270134666667
604nm,TSUHET,-754.7566033333334
605nm,ACEGLA,-882.0048345
605nm,ACEMAC,-460.8468551851852
605nm,ALNRUB,-502.7160960333333
605nm,POPTRI,-980.4655903333332
605nm,THUPLI,-700.4429219333333
605nm,TSUHET,-754.9750226666666
606nm,ACEGLA,-881.9866805
606nm,ACEMAC,-460.78377907407406
606nm,ALNRUB,-502.6584248666667
606nm,POPTRI,-980.4682560000001
606nm,THUPLI,-700.3325334666666
606nm,TSUHET,-754.9001673333333
607nm,ACEGLA,-881.1273973333333
607nm,ACEMAC,-460.4602048148148
607nm,ALNRUB,-502.28096596666666
607nm,POPTRI,-979.8807993333332
607nm,THUPLI,-699.7713092666667
607nm,TSUHET,-754.2411116666667
608nm,ACEGLA,-879.7980201666667
608nm,ACEMAC,-459.8197524814815
608nm,ALNRUB,-501.55734083333334
608nm,POPTRI,-978.51798900000006
608nm,THUPLI,-698.6263951333333
608nm,TSUHET,-752.678637
609nm,ACEGLA,-878.1720283333333
609nm,ACEMAC,-458.979353
609nm,ALNRUB,-500.61528273333334
609nm,POPTRI,-976.6658363333333
609nm,THUPLI,-697.1132058
609nm,TSUHET,-750.546217
610nm,ACEGLA,-875.6470071666666
610nm,ACEMAC,-457.6162078888889
610nm,ALNRUB,-499.3636638666667
610nm,POPTRI,-974.4392176666668
610nm,THUPLI,-695.0843308
610nm,TSUHET,-748.3794296666666
611nm,ACEGLA,-873.0917106666666
611nm,ACEMAC,-456.2369847037037
611nm,ALNRUB,-498.0848029
611nm,POPTRI,-972.039616
611nm,THUPLI,-693.0299401999999
611nm,TSUHET,-746.2783183333332
612nm,ACEGLA,-870.8902921666668
612nm,ACEMAC,-455.070759
612nm,ALNRUB,-496.8496720333333
612nm,POPTRI,-969.0406753333333
612nm,THUPLI,-691.1407916666667
612nm,TSUHET,-744.5012409999999
613nm,ACEGLA,-869.2266063333334
613nm,ACEMAC,-454.1784055185185
613nm,ALNRUB,-495.8658458333333
613nm,POPTRI,-966.9044426666667
613nm,THUPLI,-689.6718876666666
613nm,TSUHET,-743.00764833333335
614nm,ACEGLA,-868.1900113333332
614nm,ACEMAC,-453.60540885185185
614nm,ALNRUB,-495.17503723333334
614nm,POPTRI,-965.7744683333333
614nm,THUPLI,-688.6929758666666
614nm,TSUHET,-741.844585
615nm,ACEGLA,-867.4147586666667
615nm,ACEMAC,-453.15508951851854
615nm,ALNRUB,-494.59800943333335
615nm,POPTRI,-964.7352146666666
615nm,THUPLI,-687.8819917333333
615nm,TSUHET,-740.9074776666666
616nm,ACEGLA,-866.7267815
616nm,ACEMAC,-452.7426512222222
616nm,ALNRUB,-494.0640423
616nm,POPTRI,-963.7404416666667
616nm,THUPLI,-687.130451
616nm,TSUHET,-740.0633459999999
617nm,ACEGLA,-866.021652
617nm,ACEMAC,-452.24273748148147
617nm,ALNRUB,-493.65473713333336
617nm,POPTRI,-963.1096033333333
617nm,THUPLI,-686.4566166666667
617nm,TSUHET,-739.662885
618nm,ACEGLA,-865.0944935
618nm,ACEMAC,-451.6852675185185
618nm,ALNRUB,-493.1915651
618nm,POPTRI,-962.2114446666667
618nm,THUPLI,-685.6237147333334
618nm,TSUHET,-739.012609
619nm,ACEGLA,-863.7115591666667
619nm,ACEMAC,-451.0097015555555
619nm,ALNRUB,-492.61788563333334
619nm,POPTRI,-960.7646483333333
619nm,THUPLI,-684.4644146
619nm,TSUHET,-737.8498346666668
620nm,ACEGLA,-862.4910691666666
620nm,ACEMAC,-450.31722918518517
620nm,ALNRUB,-491.8832478666667
620nm,POPTRI,-959.3858683333333
620nm,THUPLI,-683.3382048
620nm,TSUHET,-736.4197606666667
621nm,ACEGLA,-861.3700516666667
621nm,ACEMAC,-449.61440025925924
621nm,ALNRUB,-491.05004383333335
621nm,POPTRI,-958.0486533333334
621nm,THUPLI,-682.2322019333334
621nm,TSUHET,-734.8258896666666
622nm,ACEGLA,-859.4261786666667
622nm,ACEMAC,-448.5694354074074
622nm,ALNRUB,-490.0190758
622nm,POPTRI,-955.4451333333334
622nm,THUPLI,-680.6356391333334
622nm,TSUHET,-733.1619863333334
623nm,ACEGLA,-857.2682268333334
623nm,ACEMAC,-447.4235267407407
623nm,ALNRUB,-488.8568259666667
623nm,POPTRI,-952.5889229999999
623nm,THUPLI,-678.8762428
623nm,TSUHET,-731.3588050000001
624nm,ACEGLA,-854.5972823333334
624nm,ACEMAC,-446.0197982592593
624nm,ALNRUB,-487.2732246
624nm,POPTRI,-949.230477
624nm,THUPLI,-676.6796165333333
624nm,TSUHET,-729.0597336666667
625nm,ACEGLA,-852.1431083333334
625nm,ACEMAC,-444.68063877777774
625nm,ALNRUB,-485.8021765666667
625nm,POPTRI,-946.3932693333334
