variable,species,avg
403nm,ACEGLA,-529.4170243333333
403nm,ACEMAC,-281.0475416666667
403nm,ALNRUB,-294.096191
403nm,POPTRI,-602.4952393333333
403nm,THUPLI,-446.0896347333333
403nm,TSUHET,-468.2481416666667
404nm,ACEGLA,-540.6788823333333
404nm,ACEMAC,-286.9495395185185
404nm,ALNRUB,-300.53419443333337
404nm,POPTRI,-616.4750083333333
404nm,THUPLI,-455.3644725333333
404nm,TSUHET,-477.8823096666667
405nm,ACEGLA,-550.2905965
405nm,ACEMAC,-291.93290122222226
405nm,ALNRUB,-306.05352703333335
405nm,POPTRI,-628.68623
405nm,THUPLI,-463.2301544
405nm,TSUHET,-486.0605386666667
406nm,ACEGLA,-555.6422765
406nm,ACEMAC,-294.7523291111111
406nm,ALNRUB,-308.86177676666665
406nm,POPTRI,-634.062529
406nm,THUPLI,-467.1964538666667
406nm,TSUHET,-490.5552693333334
407nm,ACEGLA,-560.774706
407nm,ACEMAC,-297.4521233703704
407nm,ALNRUB,-311.58413136666667
407nm,POPTRI,-639.2230873333333
407nm,THUPLI,-471.0205404
407nm,TSUHET,-494.8818023333334
408nm,ACEGLA,-564.5531076666666
408nm,ACEMAC,-299.4086521481481
408nm,ALNRUB,-313.8028131333333
408nm,POPTRI,-643.1189933333334
408nm,THUPLI,-473.995509
408nm,TSUHET,-498.18027600000005
409nm,ACEGLA,-568.861341
409nm,ACEMAC,-301.595636037037
409nm,ALNRUB,-316.2927061666667
409nm,POPTRI,-647.8778609999999
409nm,THUPLI,-477.3426162
409nm,TSUHET,-501.84334599999994
410nm,ACEGLA,-574.6408141666667
410nm,ACEMAC,-304.42251785185186
410nm,ALNRUB,-319.53566739999997
410nm,POPTRI,-655.0326856666667
410nm,THUPLI,-481.72312900000003
410nm,TSUHET,-506.5187146666667
411nm,ACEGLA,-581.2487158333333
411nm,ACEMAC,-307.78410933333333
411nm,ALNRUB,-323.31435593333333
411nm,POPTRI,-662.5900423333333
411nm,THUPLI,-486.87786273333336
411nm,TSUHET,-512.0308236666667
412nm,ACEGLA,-589.101188
412nm,ACEMAC,-311.9489951111111
412nm,ALNRUB,-327.8978298
412nm,POPTRI,-670.751968
412nm,THUPLI,-493.1957478666667
412nm,TSUHET,-518.8001843333333
413nm,ACEGLA,-595.1238785
413nm,ACEMAC,-315.0545332962963
413nm,ALNRUB,-331.36852496666666
413nm,POPTRI,-677.4405623333334
413nm,THUPLI,-497.941854
413nm,TSUHET,-523.9112083333333
414nm,ACEGLA,-599.556149
414nm,ACEMAC,-317.23934144444445
414nm,ALNRUB,-333.8720329
414nm,POPTRI,-682.848552
414nm,THUPLI,-501.3218361333333
414nm,TSUHET,-527.580807
415nm,ACEGLA,-604.8448963333334
415nm,ACEMAC,-320.10929125925924
415nm,ALNRUB,-337.0286971
415nm,POPTRI,-689.0902333333333
415nm,THUPLI,-505.51600913333334
415nm,TSUHET,-531.9691783333333
416nm,ACEGLA,-610.5537885
416nm,ACEMAC,-323.31533566666667
416nm,ALNRUB,-340.50577453333335
416nm,POPTRI,-695.7408326666666
416nm,THUPLI,-510.10958006666664
416nm,TSUHET,-536.7101486666667
417nm,ACEGLA,-613.1223953333333
417nm,ACEMAC,-324.58590111111107
417nm,ALNRUB,-341.958014
417nm,POPTRI,-698.323426
417nm,THUPLI,-512.0535854666667
417nm,TSUHET,-538.9874156666667
418nm,ACEGLA,-614.9409115
418nm,ACEMAC,-325.3941413703704
418nm,ALNRUB,-342.92655343333337
418nm,POPTRI,-699.934309
418nm,THUPLI,-513.3646888666667
418nm,TSUHET,-540.676171
419nm,ACEGLA,-616.0769676666666
419nm,ACEMAC,-326.03935907407407
419nm,ALNRUB,-343.7745705
419nm,POPTRI,-701.3126583333334
419nm,THUPLI,-514.0221154666667
419nm,TSUHET,-541.53988
420nm,ACEGLA,-617.0946073333333
420nm,ACEMAC,-326.6320767037037
420nm,ALNRUB,-344.56095753333335
420nm,POPTRI,-702.5880293333333
420nm,THUPLI,-514.5881103333334
420nm,TSUHET,-542.308717
421nm,ACEGLA,-617.2331223333333
421nm,ACEMAC,-326.74163614814813
421nm,ALNRUB,-344.7328252
421nm,POPTRI,-702.857126
421nm,THUPLI,-514.5599474666667
421nm,TSUHET,-542.5600766666666
422nm,ACEGLA,-617.0131076666667
422nm,ACEMAC,-326.6287925925926
422nm,ALNRUB,-344.71526023333337
422nm,POPTRI,-702.645005
422nm,THUPLI,-514.192533
